,Chucky,Hammer,Katze,Kreatur,Munster,Pedro,binary_alpha_digits,caltech101,caltech_birds2010,caltech_birds2011,cats_vs_dogs,cifar100,cifar10,colorectal_histology,deep_weeds,default,eurosat,fashion_mnist,horses_or_humans,mnist
Chucky_0,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_1,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_2,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_3,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_4,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_5,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_6,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_7,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_8,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_9,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
