,mean_histogram,num_channels,num_classes,resolution_0,resolution_1,sequence_size
binary_alpha_digits_num_classes_17_num_dev_examples_340_num_test_examples_119_resolution_32_num_channels_1,"[1.5107e+02 6.0000e-02 6.0000e-02 3.4000e-01 3.6000e-01 1.1000e-01
 3.3690e+01 1.9500e+00 8.9000e+00 1.6980e+01 5.8000e-01 2.5200e+00
 3.1000e-01 1.0000e-02 5.3400e+00 0.0000e+00 4.0000e-02 1.1300e+00
 6.0000e-02 5.0000e-02 1.0000e-02 1.8000e-01 7.0000e-02 1.2000e-01
 1.8200e+00 9.8500e+00 2.1000e-01 1.4000e-01 3.0000e-01 2.1000e-01
 3.0000e-02 7.0000e-02 3.0000e-01 9.0000e-02 2.1000e-01 2.8700e+00
 0.0000e+00 5.0000e-02 5.1000e-01 2.8000e-01 1.5300e+00 3.0000e-02
 5.0000e-02 4.0000e-01 1.4400e+00 3.4800e+00 1.0000e-02 1.6000e-01
 8.0000e-02 0.0000e+00 2.7100e+00 0.0000e+00 0.0000e+00 1.1000e-01
 0.0000e+00 0.0000e+00 8.0000e-01 0.0000e+00 6.0000e-02 0.0000e+00
 0.0000e+00 0.0000e+00 1.0000e-02 0.0000e+00 1.0000e-02 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 1.0000e-02 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 1.0000e-02 0.0000e+00 0.0000e+00 0.0000e+00
 1.0000e-02 0.0000e+00 0.0000e+00 0.0000e+00 2.0000e-02 0.0000e+00
 0.0000e+00 3.0000e-02 0.0000e+00 0.0000e+00 1.0000e-02 1.4000e-01
 4.0000e-02 3.0000e-02 1.1000e-01 5.0000e-02 5.0000e-02 1.1000e-01
 5.0000e-02 3.0000e-02 8.0000e-02 3.4600e+00]",1,36,16,16,1
caltech101_num_classes_19_num_dev_examples_1177_num_test_examples_133_resolution_128_num_channels_3,"[35323.77  1145.63   797.77  1177.21   782.29  1152.14  1456.32  1910.49
  1077.34  3873.12  1671.12  1189.12  1401.32   760.68  1208.89   801.24
  1187.83   802.33  1235.12   872.67  1342.3   1293.25   832.29  1338.03
 24442.55  1168.93  1013.91  1165.46   779.79  1199.35  1137.44   925.44
  1478.93   971.58  1363.88  1037.85  1588.35   893.92  1149.36   794.64
  1208.46  1159.17   791.49  1294.05   856.99  1334.95   864.97  1290.68
   846.59  1364.7   1220.36   814.36  1180.81   794.07  1205.18   795.12
  1359.    1034.91  1593.9   1105.31  1412.81  1666.2   1008.58  1265.82
   841.62  1280.38   866.19  1231.39   836.85  1537.25  1476.27   964.98
  1399.08  1017.57  1744.69  1037.71  1555.81  1063.11  1541.62  1019.76
  1526.15  1868.63  1613.92  2409.69  1655.24  2569.54  1799.28  3647.57
  2070.78  3010.55  3375.57  1580.89  2314.55  2623.92  5745.57   870.05
  1421.73  1017.25  1329.01  1531.7 ]",3,102,256,256,1
caltech101_num_classes_3_num_dev_examples_60_num_test_examples_15_resolution_256_num_channels_3,"[20677.64  1263.38   863.04  1313.51   870.75  1318.64  1972.78  2880.62
  1335.56  2708.73  2291.45  1207.75  1493.27   867.92  1335.11   867.01
  1292.38   871.35  1340.61   953.41  1514.78  1427.35   999.13  1529.96
 24668.64  1574.08  1119.87  1303.27   861.07  1350.64  1302.03  1019.35
  1979.67   963.32  1551.23  1152.26  1766.95  1077.9   1292.1    864.58
  1333.91  1305.14   910.08  1455.57   933.44  1740.6    925.54  1475.43
   994.1   1589.95  1358.27   880.77  1313.05   878.68  1368.67   906.18
  1659.36  1130.61  1811.07  1302.4   2071.12  1745.54  1247.8   1379.16
   948.53  1428.83   988.77  1443.78   968.42  1796.27  1737.56  1070.95
  1845.31  1140.7   1890.68  1336.44  1992.75  1327.31  1893.61  1229.42
  1887.01  2305.65  1921.26  2609.29  1785.97  2841.32  1771.06  3861.88
  1980.49  3131.59  2926.09  2020.67  2587.48  2524.98  3755.91  1311.4
  1394.9    999.98  1623.46  1568.75]",3,102,256,256,1
caltech_birds2010_num_classes_16_num_dev_examples_319_num_test_examples_96_resolution_128_num_channels_3,"[ 5791.61  1495.97  1036.37  1574.98  1027.4   1521.63  1371.86  2054.14
  1377.02  2090.52  1992.16  1359.76  1669.53  1020.7   1569.95  1024.68
  1527.25  1026.64  1614.04  1230.74  1722.57  1753.89  1106.8   1575.03
 25349.91  1592.13  1049.83  1513.51  1037.4   1562.95  1508.76  1285.14
  1982.52  1314.36  1904.06  1128.11  1780.23  1154.73  1539.72  1029.26
  1585.06  1537.3   1036.14  1642.36  1296.07  1857.95  1159.13  1813.95
  1045.4   1638.82  1572.34  1028.    1532.31  1034.03  1564.25  1029.55
  1781.7   1327.31  2062.85  1346.64  1911.05  1917.75  1258.53  1602.39
  1080.95  1623.08  1061.23  1586.69  1071.05  1883.65  1911.56  1273.99
  2047.49  1158.17  1837.83  1327.52  2071.7   1371.88  2107.87  1423.08
  2289.46  2934.79  2245.37  3686.71  2384.61  3107.93  2096.03  4146.47
  3450.16  4507.11  3904.46  1951.65  2340.36  1603.44  2103.21  1237.56
  1784.85  1129.94  1617.56  1399.85]",3,200,256,256,1
caltech_birds2011_num_classes_74_num_dev_examples_3448_num_test_examples_518_resolution_128_num_channels_3,"[ 2287.82  1496.03  1014.91  1549.73  1026.81  1490.35  1414.36  2215.91
  1477.02  2559.01  2568.41  1442.05  1678.82  1019.54  1551.92  1018.94
  1506.5   1002.09  1583.8   1177.84  1737.95  1816.98  1191.07  1724.65
 25577.8   1541.61  1020.83  1500.93  1018.41  1542.45  1505.19  1285.36
  1875.43  1260.01  1990.43  1501.54  1976.29  1137.81  1503.2   1019.5
  1549.89  1505.    1011.1   1598.16  1187.74  1717.2   1185.86  1765.32
  1247.15  1703.53  1540.67  1022.28  1496.36  1010.58  1542.13  1001.62
  1768.21  1334.86  2089.41  1458.09  2275.59  2086.76  1260.89  1524.36
  1033.78  1585.69  1041.65  1527.33  1054.03  1881.96  1860.84  1321.84
  1957.35  1289.7   1856.13  1295.48  2008.04  1407.67  2149.03  1498.4
  2251.23  3026.92  2148.39  3305.36  2516.07  3941.43  2211.7   3902.18
  3328.91  4251.73  4107.91  2516.41  2700.36  1566.53  1828.1   1177.26
  1778.19  1302.09  1854.82  1431.43]",3,200,256,256,1
caltech_birds2011_num_classes_85_num_dev_examples_1700_num_test_examples_510_resolution_128_num_channels_3,"[ 5645.57  1415.55   950.88  1451.54   952.24  1415.66  1433.2   2226.14
  1421.08  2476.17  2372.9   1495.18  1610.85   952.72  1470.02   939.51
  1397.49   957.53  1537.9   1214.12  1650.56  1711.93  1156.58  1569.86
 25450.57  1450.68   950.7   1431.89   943.92  1453.38  1410.54  1370.3
  1993.26  1359.94  2083.74  1352.43  2226.89  1099.8   1429.01   968.47
  1483.1   1440.46   964.02  1553.03  1174.48  1615.99  1182.37  1757.53
  1106.5   1604.78  1471.95   967.21  1428.31   964.92  1475.93   964.23
  1858.38  1384.36  2189.92  1456.51  2417.85  2341.24  1453.28  1481.47
  1029.98  1573.6   1035.22  1518.2   1039.26  2040.31  1858.94  1435.03
  2048.44  1209.31  2078.95  1270.47  1922.46  1322.57  2012.58  1403.41
  2082.68  2858.01  2238.43  3701.28  2515.95  3547.28  2500.77  4288.72
  3143.22  3628.47  3880.79  2081.16  2113.61  1833.19  1927.82  1129.34
  1893.71  1145.62  1624.38  1536.32]",3,200,256,256,1
cassava_num_classes_2_num_dev_examples_1695_num_test_examples_148_resolution_512_num_channels_3,"[ 11881.04   6718.72   4532.99   6927.66   4536.39   6748.3    4817.61
   7265.52   4794.29   7189.69   7311.82   4798.8    6822.11   4538.94
   6909.34   4549.7    6704.76   4561.33   6905.36   4578.92   6761.88
   6932.9    4553.45   6764.59 102250.17   6914.19   4544.15   6727.53
   4576.64   6925.01   6708.29   4680.76   7034.82   4636.21   6860.13
   4630.77   6990.43   4580.21   6738.06   4548.98   6933.36   6755.77
   4550.45   6939.42   4597.42   6775.46   4590.23   6999.07   4574.98
   6756.86   6935.39   4574.87   6802.39   4583.54   6977.66   4591.19
   6998.87   4790.6    7343.82   4796.82   7101.36   7233.13   4788.49
   7033.38   4801.12   7307.3    4799.29   7128.11   4852.65   7926.06
   7811.87   5339.13   8205.35   5431.59   8249.82   6660.16  10312.38
   6913.14  10330.87   6955.49  10489.05  12557.58   9235.5   13836.83
   9234.38  13531.49   8889.88  15756.    11300.26  14937.76  13073.6
   7249.51   9304.22   6504.82   7049.77   4536.12   6721.61   4524.26
   6904.76   6293.28]",3,5,512,512,1
cats_vs_dogs_num_classes_2_num_dev_examples_10325_num_test_examples_1498_resolution_512_num_channels_3,"[ 4358.29  1532.99  1026.91  1569.31  1020.59  1524.22  1925.14  2504.43
  1528.61  2266.74  2155.67  1412.97  1632.96  1025.88  1548.5   1024.71
  1504.51  1029.54  1582.23  1242.57  1811.23  1737.5   1092.44  1585.6
 25516.85  1555.73  1027.64  1523.46  1031.21  1554.59  1523.78  1222.74
  1972.04  1336.55  1817.05  1125.69  1689.77  1057.08  1515.23  1028.05
  1591.56  1523.74  1032.54  1631.87  1193.83  1854.75  1137.88  1730.89
  1163.06  1583.89  1606.64  1033.3   1551.2   1072.46  1585.47  1044.4
  1843.74  1458.91  2091.93  1272.54  1817.55  1898.64  1179.14  1625.78
  1094.89  1708.64  1105.99  1644.59  1126.09  2073.62  2092.44  1308.91
  1924.16  1286.02  1994.3   1466.85  2126.48  1414.67  2132.05  1439.1
  2239.54  2901.3   2358.62  3588.86  2187.11  3045.96  1936.82  4619.42
  3074.25  4283.85  3275.28  1914.21  2470.59  1760.28  2213.83  1261.71
  1753.68  1085.74  1612.7   1418.74]",3,2,256,256,1
cats_vs_dogs_num_classes_2_num_dev_examples_7385_num_test_examples_1854_resolution_512_num_channels_3,"[ 2310.34  1522.13  1030.66  1571.74  1020.87  1512.5   1613.11  2536.04
  1566.27  2249.59  2263.96  1398.5   1636.51  1034.33  1566.45  1019.69
  1512.7   1030.73  1601.75  1176.82  1904.11  1748.26  1078.3   1662.06
 25618.21  1567.83  1036.1   1521.17  1024.16  1554.45  1515.49  1156.28
  2057.89  1356.68  1795.04  1142.76  1922.73  1087.44  1526.09  1027.43
  1552.89  1521.52  1031.94  1589.44  1133.53  1880.97  1174.47  1664.46
  1126.25  1703.34  1588.95  1045.91  1530.83  1064.47  1576.44  1053.23
  1779.24  1342.33  2280.68  1322.44  1927.46  2242.52  1249.22  1653.31
  1138.66  1696.04  1117.79  1646.48  1120.84  1968.2   2099.43  1387.79
  1954.8   2432.26  2106.82  1510.21  2217.11  1474.68  2200.85  1505.09
  2238.73  2821.58  2220.71  3404.77  2080.14  3015.87  2177.65  3718.36
  2694.64  4501.76  3615.09  1819.8   3110.03  2047.89  1820.97  1228.49
  1739.02  1096.89  1694.23  1471.32]",3,2,256,256,1
cats_vs_dogs_num_classes_2_num_dev_examples_9735_num_test_examples_2254_resolution_128_num_channels_3,"[ 2885.06  1551.06  1042.86  1590.12  1032.23  1548.34  2225.12  2561.07
  1643.81  2417.4   2557.22  1449.61  1685.87  1053.51  1597.86  1046.47
  1530.42  1049.32  1662.81  1307.1   1703.84  1679.81  1056.39  1593.94
 25496.46  1577.4   1050.04  1554.03  1043.12  1588.13  1530.44  1314.99
  1920.44  1240.09  1696.    1182.22  1891.15  1131.04  1558.16  1041.42
  1597.37  1537.58  1041.97  1754.08  1240.04  1696.71  1138.84  1636.49
  1073.34  1619.89  1617.26  1059.16  1561.09  1069.71  1589.68  1039.79
  2015.    1532.98  2064.46  1317.96  1914.18  1968.36  1245.06  1657.05
  1136.22  1720.68  1123.99  1669.34  1139.07  2155.51  1947.84  1325.32
  1976.16  1286.58  1974.56  1501.99  2310.21  1542.39  2240.75  1485.48
  2233.58  2902.26  2235.85  3365.89  2268.92  3571.22  2373.75  4254.1
  3083.33  3888.21  3166.66  1671.66  2407.12  1564.24  1967.17  1112.29
  1622.59  1056.94  1624.07  1427.64]",3,2,256,256,1
